serverName`appcodefinal`parentName`DeviceType`VirtualHostName`OnesourceClusterName`DataCentre`HostedAppcode
SE132592`VX10`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`VX10
SE132603`VX30`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`VX30
SE132604`VX20`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`VX20
SE132661`VX20`N/A`N/A`N/A`N/A`SCC`VX20
SE132663`VX20`N/A`N/A`N/A`N/A`SCC`VX20
SE132664`VX20`N/A`N/A`N/A`N/A`SCC`VX20
SE132665`VX20`N/A`N/A`N/A`N/A`SCC`VX20
SE132666`VX20`N/A`N/A`N/A`N/A`SCC`VX20
SE132667`VX20`N/A`N/A`N/A`N/A`SCC`VX20
SE132668`VX20`N/A`N/A`N/A`N/A`SCC`VX20
SE132669`VX20`N/A`N/A`N/A`N/A`SCC`VX20
SE132688`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132689`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132690`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132691`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132692`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132693`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132694`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132695`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132696`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132697`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132698`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132699`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132700`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132701`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132702`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132703`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132704`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132705`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132706`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132707`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132718`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132719`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132720`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132721`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132722`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE132723`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134622`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134623`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134624`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134625`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134626`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134627`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134628`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134629`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134630`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134631`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134632`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134633`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134634`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134635`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134636`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134637`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134638`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134639`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134640`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134641`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134642`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134643`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134644`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134645`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134646`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134647`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134649`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134650`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134667`XCY0`N/A`N/A`SE114312V`SCC-CLU-PROD-UCS-NFS-01`SCC`XCY0
SE134669`XCY0`sccsf01lf02`SWITCH-ROUTER`SE134974V`SCC-CLU-PROD-FLEX-ROBO`SCC`XCY0
SE134691`XCY0`N/A`N/A`SE115196V`SCC-CLU-PROD-UCS-NFS-01`SCC`N/A
SE134766`XCY0`N/A`N/A`SE119187V`SCC-CLU-PROD-UCS-NFS-01`SCC`XCY0
SE134775V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-01`SCC`N/A
SE134778V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134779V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134780V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134781V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134782V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134783V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134784V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134785V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134786V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-PI-01`SCC`N/A
SE134787V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-PI-01`SCC`N/A
SE134788V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134789V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134790V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134791V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134792V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134794V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134795V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134801V-GCC-HA`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-PI-01`SCC`N/A
SE134802V-GCC-HA`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-PI-01`SCC`N/A
SE134803V-GCC-HA`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-LINUX-01`SCC`N/A
SE134804V-GCC-HA`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134806V-GCC-HA`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134815V-GCC-HA`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134816V-GCC-HA`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134817V-GCC-HA`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134818V-GCC-HA`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134819V-GCC-HA`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE134838`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134839`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134840`THC0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THC0
SE134841`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134842`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134843`THC0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THC0
SE134844`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134845`THC0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THC0
SE134846`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134847`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134848`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134849`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134850`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134851`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134852`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134853`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134854`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134855`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134856`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134857`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`N/A
SE134858`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134859`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134860`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134861`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134862`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134863`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134864`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134865`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134866`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE134964`YKE0`sccdssfs6a`N/A`N/A`P01-YKE0-16`SCC`YKE0
SE134975V`YLX0`sccsf01lf02`SWITCH-ROUTER`N/A`SCC-CLU-PROD-FLEX-ROBO`SCC`N/A
SE134976V`YLX0`sccsf01lf02`SWITCH-ROUTER`N/A`SCC-CLU-PROD-FLEX-ROBO`SCC`N/A
SE134987V`YLX0`sccsf01lf02`SWITCH-ROUTER`N/A`SCC-CLU-PROD-FLEX-LINUX-HC-01`SCC`N/A
SE135014`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135015`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135016`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135017`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135018`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135019`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135020`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135021`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135022`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135023`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135045`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE135046`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE135047`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE135048`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE135117`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`N/A
SE135118`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`N/A
SE135119`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135120`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135121`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135122`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135123`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`N/A
SE135124`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135125`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135126`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135127`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135128`VKK0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`VKK0
SE135466`YKE0`sccsfrms08`SWITCH-ROUTER`N/A`N/A`SCC`YKE0
SE135908`UUN0`N/A`N/A`N/A`N/A`SCC`N/A
SE135922`XTB0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`XTB0,WJP0,SWG0,TEH0,RIA0,WIZ0,XDD0,TJK0,UUI0,SCU0,SAO0
SE136053V`YLX0`sccsf01lf02`SWITCH-ROUTER`N/A`SCC-CLU-PROD-ICO-BUILD-01`SCC`N/A
SE136055V`YLX0`sccsf01lf02`SWITCH-ROUTER`N/A`SCC-CLU-PROD-ICO-BUILD-01`SCC`N/A
SE136063`XCY0`N/A`N/A`SE115199V`SCC-CLU-PROD-UCS-NFS-01`SCC`XCY0
SE136065`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0,VNF0
SE136066`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE136067`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE136068`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE136069`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE136070`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE136071`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE136072`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE136323V-SCC`YLX0`N/A`N/A`N/A`BUILD`SCC`N/A
SE136324V-SCC`YLX0`N/A`N/A`N/A`BUILD`SCC`N/A
SE136325V-SCC`YLX0`N/A`N/A`N/A`BUILD`SCC`N/A
SE136326V-SCC`YLX0`N/A`N/A`N/A`BUILD`SCC`N/A
SE136327V-SCC`YLX0`N/A`N/A`N/A`BUILD`SCC`N/A
SE136375`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136376`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136377`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136378`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136379`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136380`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136381`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136382`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136383`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136384`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136385`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136386`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136387`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136388`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136389`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136390`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136391`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136392`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136393`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136394`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136396`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136397`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136398`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136399`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136400`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136401`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136402`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136403`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136404`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136405`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136406`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136407`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136408`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136409`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136410`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136411`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136412`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136413`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136414`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136415`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136416`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136417`THC0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THC0
SE136418`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136419`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136420`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136421`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136422`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136423`THC0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THC0
SE136424`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136425`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136426`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136427`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136428`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136429`THC0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THC0
SE136430`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136431`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136432`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136433`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136435`THC0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THC0
SE136436`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136437`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136438`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136439`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136440`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136441`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136442`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136443`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136444`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE136461`XCY0`sccsf01lf02`SWITCH-ROUTER`SE134975V`SCC-CLU-PROD-FLEX-ROBO`SCC`XCY0
SE136462`VX20`sccsfrms12`SWITCH-ROUTER`N/A`N/A`SCC`VX20
SE136463`VX20`sccsfrms11`SWITCH-ROUTER`N/A`N/A`SCC`VX20
SE136464`VX20`sccsfrms11`SWITCH-ROUTER`N/A`N/A`SCC`VX20
SE136468`VX10`N/A`N/A`N/A`N/A`SCC`VX10
SE136573`2U00`N/A`N/A`SE115197V`SCC-CLU-PROD-UCS-NFS-01`SCC`2U00
SE136574`2U00`N/A`N/A`SE114304V`SCC-CLU-PROD-UCS-NFS-01`SCC`2U00
SE136575`2U00`N/A`N/A`SE114312V`SCC-CLU-PROD-UCS-NFS-01`SCC`2U00
SE136576`2U00`N/A`N/A`SE115199V`SCC-CLU-PROD-UCS-NFS-01`SCC`2U00
SE136577`2U00`N/A`N/A`SE114304V`SCC-CLU-PROD-UCS-NFS-01`SCC`2U00
SE136800`THG0`sccsf02lf08`SWITCH-ROUTER`N/A`N/A`SCC`THG0
SE137018`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE137019`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE137283`UX20`N/A`N/A`SE114312V`SCC-CLU-PROD-UCS-NFS-01`SCC`N/A
SE137647`YLX0`N/A`N/A`N/A`N/A`SCC`YLX0
SE138134`YKE0`sccdssfs7a`SWITCH`N/A`N/A`SCC`2U00
SE138345`ZNE0`sccsfrms04`SWITCH-ROUTER`N/A`N/A`SCC`ZNE0
SE138378`YND0`sccsfrms05`SWITCH-ROUTER`SE112072V`SCC-CLU-PROD-NHT-SAN-01`SCC`YND0
SE138393`YND0`sccsfrms05`SWITCH-ROUTER`SE112071V`SCC-CLU-PROD-NHT-SAN-01`SCC`YND0
SE138454`TFL0`sccdssfs6a`N/A`N/A`N/A`SCC`TFL0
SE138455`TFL0`sccdssfs6a`N/A`N/A`N/A`SCC`TFL0
SE138475V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE138476V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE138477V-SCC`YLX0`N/A`N/A`N/A`SCC-GCC-PROD-METRO-STAGE-01`SCC`N/A
SE138527`ZJP0`N/A`N/A`N/A`N/A`SCC`ZJP0
SE138606V`YLX0`sccdssfs6a`N/A`N/A`SCC-CLU-PROD-UCS-CUCM-IPT-01`SCC`N/A
SE140158`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE140159`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE140160`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE140161`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE140162`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE140163`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE140164`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE140165`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE140166`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE140167`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE140168`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE140169`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE140172`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`N/A
SE140174`YKE0`N/A`N/A`N/A`N/A`SCC`YKE0
SE140175`YKE0`N/A`N/A`N/A`N/A`SCC`YKE0
SE140176`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE140177`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE140178`YKE0`sccdssfs6a`N/A`N/A`N/A`SCC`YKE0
SE140179`YKE0`sccdssfs5a`SWITCH`N/A`N/A`SCC`YKE0
SE140264`YKE0`sccsfrms08`SWITCH-ROUTER`N/A`N/A`SCC`N/A
SE140993`STS0`sccsf01lf02`SWITCH-ROUTER`N/A`N/A`SCC`STS0
SE141285`3UB0`N/A`N/A`SE134777V-SCC`SCC-GCC-PROD-METRO-WIN-01`SCC`3UB0
SE141286`3UB0`N/A`N/A`SE134775V-SCC`SCC-GCC-PROD-METRO-WIN-01`SCC`3UB0
SE141287`3UB0`N/A`N/A`SE134777V-SCC`SCC-GCC-PROD-METRO-WIN-01`SCC`3UB0
SE141288`3UB0`N/A`N/A`SE134775V-SCC`SCC-GCC-PROD-METRO-WIN-01`SCC`3UB0
