serverName`appcodefinal`parentName`DeviceType`VirtualHostName`OnesourceClusterName`DataCentre`HostedAppcode
NJSQLPIMQM004`DT00`srd2cuxn1r1`SWITCH-ROUTER`N/A`NYMQQA`2 EMERSON LANE (COLO & ANCILLARY OFFICE)`N/A
AUSYBR11305D6`STD0`N/A`N/A`N/A`N/A`2 PARK`STD0,ZPY0
S3W04338`NA00`N/A`N/A`N/A`N/A`2 PARK`NA00
SE000129`ZPN0`riausyrhods01sf1`SWITCH`SE113566V`AUS-CLU-DR-01`2 PARK`ZPN0
SE103998`SFP0`ausi373dcsfac001`SWITCH-ROUTER`N/A`N/A`2 PARK`SFP0
SE103999`SFP0`ausi373dcsfac001`SWITCH-ROUTER`N/A`N/A`2 PARK`SFP0
SE104383`SFP0`ausi373dcsfac001`SWITCH-ROUTER`N/A`N/A`2 PARK`SFP0
SE104946`RFR0`riausyparkr46ma1`SWITCH-ROUTER`N/A`N/A`2 PARK`RFR0
SE104947`RFR0`riausyrhods01sf1`SWITCH`SE113565V`AUS-CLU-DR-01`2 PARK`RFR0
SE106113`UOM0`riausyrhods01sf2`SWITCH-ROUTER`SE111188V`AUS-CLU-DR-01`2 PARK`UOM0
SE106114`UOM0`riausyrhods01sf3`SWITCH-ROUTER`SE113566V`AUS-CLU-DR-01`2 PARK`UOM0
SE106433`XZQ0`N/A`N/A`SE113562V`AUS-CLU-PROD-01`2 PARK`XZQ0
SE106619`UOM0`riausyparkr46mb1`SWITCH-ROUTER`N/A`UOM0-SQLPR-MSCS`2 PARK`UOM0,RCR0,RCT0,RCU0,RCW0,RDZ0,REA0,REC0,RED0,REE0,REF0,REH0,RFC0,RFD0,RFHO,RFJ0,SAD0,SAN0,SAP0,SGG0,WBE0,WBG0,WBH0,XUD0,XUY0,XZR0,REX0,XZQ0,WBD0
SE106620`UOM0`riausyparkr46mb1`SWITCH-ROUTER`N/A`UOM0-SQLPR-MSCS`2 PARK`UOM0,RCR0,RCT0,RCU0,RCW0,RDZ0,REA0,REC0,RED0,REE0,REF0,REH0,RFC0,RFD0,RFH0,RFJ0,SAD0,SAN0,SAP0,SGG0,WBE0,WBG0,WBH0,XUD0,XUY0,XZR0,REX0,XZQ0,WBD0
SE106621`UOM0`riausyparkr46mb1`SWITCH-ROUTER`N/A`UOM0-SQLUA-MSCS`2 PARK`UOM0,RCR0,RCT0,RCU0,RCW0,RDZ0,REA0,REC0,RED0,REE0,REF0,REH0,RFC0,RFD0,RFH0,RFJ0,SAD0,SAN0,SAP0,SGG0,WBE0,WBG0,WBH0,XUD0,XUY0,XZRO,REX0,XZQ0,WBD0
SE106622`UOM0`riausyparkr46mb1`SWITCH-ROUTER`N/A`UOM0-SQLUA-MSCS`2 PARK`UOM0,RCR0,RCT0,RCU0,RCW0,RDZ0,REA0,REC0,RED0,REE0,REF0,REH0,RFC0,RFD0,RFH0,RFJ0,SAD0,SAN0,SAP0,SGG0,WBE0,WBG0,WBH0,XUD0,XUY0,XZRO,REX0,XZQ0,WBD0
SE106623`UOM0`riausyrhods01sf1`SWITCH`N/A`UOM0-SQLDR-MSCS`2 PARK`UOM0,RCR0,RCT0,RCU0,RCW0,RDZ0,REA0,REC0,RED0,REE0,REF0,REHO,RFC0,RFD0,RFH0,RFJ0,SAD0,SAN0,SAP0,SGG0,WBE0,WBG0,WBH0,XUD0,XUY0,XZR0,REX0,XZQ0,WBD0
SE106624`UOM0`riausyrhods01sf1`SWITCH`N/A`UOM0-SQLDR-MSCS`2 PARK`UOM0,RCR0,RCT0,RCU0,RCW0,RDZ0,REA0,REC0,RED0,REE0,REF0,REH0,RFC0,RFD0,RFH0,RFJ0,SAD0,SAN0,SAP0,SGG0,WBE0,WBG0,WBH0,XUD0,XUY0,XZRO,REX0,XZQ0,WBD0
SE107336`ZPM0`riausyparks46sf1`SWITCH-ROUTER`SE113564V`AUS-CLU-PROD-01`2 PARK`ZPM0
SE107337`ZPM0`riausyrhods01sf2`SWITCH-ROUTER`SE113566V`AUS-CLU-DR-01`2 PARK`ZPM0
SE111186`RFR0`riausyrhods01sf1`SWITCH`N/A`N/A`2 PARK`RFR0
SE111189V`YLX0`riausyparks46sf2`SWITCH-ROUTER`N/A`AUS-CLU-UAT-01`2 PARK`YLX0
SE111190V`YLX0`riausyparks46sf2`SWITCH-ROUTER`N/A`AUS-CLU-UAT-01`2 PARK`YLX0
SE111191V`YLX0`riausyparks46sf2`SWITCH-ROUTER`N/A`AUS-CLU-PROD-01`2 PARK`YLX0
SE111192V`YLX0`riausyparks46sf2`SWITCH-ROUTER`N/A`AUS-CLU-PROD-01`2 PARK`YLX0
SE111193V`YLX0`riausyparks46sf2`SWITCH-ROUTER`N/A`AUS-CLU-PROD-01`2 PARK`YLX0
SE111521`RFR0`riausyrhods01sf1`SWITCH`N/A`N/A`2 PARK`RFR0
SE112049`LR00`riausyparkr46ma1`SWITCH-ROUTER`SE113564V`AUS-CLU-PROD-01`2 PARK`LR00
SE112054`LR00`riausyparkr46ma1`SWITCH-ROUTER`SE111193V`AUS-CLU-PROD-01`2 PARK`LR00
SE112055`LR00`riausyparkr46ma1`SWITCH-ROUTER`SE111192V`AUS-CLU-PROD-01`2 PARK`LR00
SE112059`LR00`riausyrhods01sf1`SWITCH`SE113566V`AUS-CLU-DR-01`2 PARK`LR00
SE112061`LR00`riausyrhods01sf1`SWITCH`SE111188V`AUS-CLU-DR-01`2 PARK`LR00
SE112062`LR00`N/A`N/A`SE111189V`AUS-CLU-UAT-01`2 PARK`LR00
SE112064`LR00`riausyparks46sf1`SWITCH-ROUTER`SE111190V`AUS-CLU-UAT-01`2 PARK`LR00
SE112894`LR00`riausyparks46sf2`SWITCH-ROUTER`SE111189V`AUS-CLU-UAT-01`2 PARK`LR00
SE112895`LR00`N/A`N/A`SE111190V`AUS-CLU-UAT-01`2 PARK`LR00
SE113562V`YLX0`riausyparks46sf2`SWITCH-ROUTER`N/A`AUS-CLU-PROD-01`2 PARK`YLX0
